,0
1930,71420085
1931,121467716
1932,89354804
1933,48908557
1934,90944696
1935,42640751
1936,15308978
1937,-30954249
1938,480927
1939,27227265
1940,10329151
1941,-3354719
1942,60419042
1943,14931850
1944,-8081925
1945,43321334
1946,-27867001
1947,22785479
1948,-10837276
1949,-26790387
1950,-15904560
1951,-91027604
1952,50198713
1953,6159887
1954,-5156979
1955,13594021
1956,-6997593
1957,-17360317
1958,-14091197
1959,-7141122
1960,79597936
1961,-27958478
1962,2163976
1963,61660817
1964,85653516
1965,-27308281
1966,-10536232
1967,29547238
1968,10415582
1969,202527588
1970,23613905
1971,41642376
1972,28664715
1973,24988847
1974,-4209760
1975,-2395396
1976,-3928440
1977,-13737889
1978,-33323551
1979,-22248118
1980,56414254
1981,-15791063
1982,612631253
1983,486121842
1984,492666074
1985,-9598902
1986,426210276
1987,139023806
1988,366521151
1989,144980927
1990,109422965
1991,287649239
1992,149375038
1993,330006552
1994,79224761
1995,85990768
1996,118798086
1997,142804141
1998,92653914
1999,174663380
2000,-24676869
2001,180692028
2002,46991427
2003,45100490
2004,48297294
2005,195497951
2006,73930144
2007,170524109
2008,33863431
2009,112342268
2010,49963447
2011,142731010
2012,56719035
2013,75096597
2014,19963114
2015,24627249
2016,25259997
2017,78279412
2018,72032937
2019,8827469
2020,22707944
2021,23284833
2022,25191568
2023,26789058
2024,51168716
2025,53400161
2026,68144784
2027,130870913
2028,22955295
2029,35710952
2030,23024416
2031,29475462
2032,63165111
2033,22520866
2034,39962160
2035,27117215
2036,41692519
2037,18202670
2038,62190038
2039,28852953
2040,21980357
2041,-23108475
2042,-27053056
2043,51789323
2044,63637064
2045,13511542
2046,52652509
2047,28228300
2048,35825712
2049,33516179
2050,-2860271
2051,21475812
2052,21721564
2053,20873681
2054,-12575182
2055,1760471
2056,66267491
2057,244249
2058,-26351711
2059,67698546
2060,19203729
2061,15033401
2062,-23413969
